A1x,A1y,A1z,G1x,G1y,G1z,A2x,A2y,A2z,G2x,G2y,G2z,A3x,A3y,A3z,G3x,G3y,G3z,A4x,A4y,A4z,G4x,G4y,G4z,A5x,A5y,A5z,G5x,G5y,G5z,A6x,A6y,A6z,G6x,G6y,G6z
-7708,-712,15604,530,-234,299,-15016,480,-4548,1122,762,1223,-15236,3456,-2796,3263,375,837,-15288,836,-840,4160,754,653,-14940,-2836,-5560,3171,1074,1143,-14500,-3380,1724,2476,723,30
-7736,-432,15592,298,-391,306,-15800,572,-4956,1975,1011,1344,-15544,3104,-3796,3914,254,803,-15608,-148,-1804,4169,555,661,-15676,-1800,-5468,3184,1143,1081,-15936,-3476,1600,1881,666,47
-7360,-668,16208,127,-481,281,-15432,792,-5928,1133,738,1105,-15556,3908,-5088,2785,462,816,-15580,816,-2776,2757,736,785,-15296,-2076,-5780,1850,849,741,-15580,-4008,2256,2157,376,-255
-7592,-636,15524,332,-830,544,-14692,-608,-5200,1770,837,1062,-15556,1464,-4084,3374,136,574,-14936,-1072,-2176,2766,730,1026,-14516,-3004,-6084,889,1107,994,-14428,-4108,2252,1024,1283,-393
-7676,-456,15484,345,-333,436,-16376,3200,-4860,2549,169,1201,-15260,4304,-4620,3544,139,939,-15280,-420,-2364,3312,1113,1059,-15148,-3192,-5864,1832,1496,1076,-15348,-5316,936,101,1980,177
-8020,-236,15792,134,224,195,-15256,1208,-4600,-1142,-364,970,-15240,2940,-3528,-92,284,1088,-15608,248,-1120,1187,938,1127,-15156,-2316,-5828,1266,1334,1240,-15368,-3976,1168,1066,1362,246
-7592,-524,15668,-129,98,147,-15412,412,-4996,177,-147,1287,-15384,2632,-3608,1293,216,1430,-15144,-440,-1492,1224,832,1356,-14996,-2208,-5532,609,1063,1270,-14992,-3160,1388,191,1109,395
-7464,-440,15688,-351,204,186,-15168,1684,-5260,-762,-209,1382,-14876,4460,-3956,60,677,1555,-15184,588,-1560,401,1154,1224,-15184,-1548,-5296,188,992,1012,-15156,-3400,1248,-652,570,356
-7508,-208,15560,-977,511,83,-15768,2128,-4352,-2902,-135,1055,-15164,4760,-3296,-1761,885,1796,-15632,1304,-872,-1775,957,1613,-15472,-2156,-5320,-1295,469,1135,-15276,-4216,960,-2277,47,271
-7612,-464,15456,-623,434,-19,-15548,588,-4504,-2895,60,1258,-15412,2488,-3304,-1782,861,1995,-15556,-564,-1336,-2418,436,1835,-15392,-2556,-5204,-1167,247,1627,-15408,-4932,852,-2338,-664,160
-7972,-656,15640,27,312,65,-15040,2112,-5204,-2106,-167,1634,-14736,3272,-4828,-1038,1108,1985,-14288,-868,-3112,-1343,466,1926,-14128,-3124,-6172,-480,-43,1882,-14420,-4536,1524,-1251,-1247,-202
-7760,-716,15672,-89,148,9,-15532,1704,-5408,-2988,-397,1694,-15276,3896,-4284,-2196,1360,2336,-15200,1008,-2092,-1908,1148,2277,-14824,-2672,-5840,5,446,2011,-14316,-4296,1236,-2093,-203,-652
-7776,-748,15604,529,-713,342,-14872,620,-4788,-1921,-187,2154,-14828,1340,-3868,-912,974,2368,-14500,-1088,-2068,-958,426,2542,-14672,-1528,-6180,-979,113,2269,-14812,-4464,876,-2686,-181,-241
-7412,-740,15536,794,-1080,441,-15284,976,-5616,-198,-351,3227,-15236,1924,-5052,1392,794,3027,-14976,-1200,-3280,-313,659,2344,-14920,-2192,-5916,-1734,-40,1946,-15356,-4584,1120,-2503,-206,331
-7532,-1068,15632,547,-603,736,-15520,2536,-5868,-120,-1022,3508,-15300,4104,-5832,2041,381,3394,-14896,740,-4020,1300,1171,2504,-14424,-2824,-6096,-1229,305,1949,-14868,-5008,1412,-2993,64,443
-7900,-596,15816,227,-149,803,-15132,2792,-4616,-305,-1208,3519,-14444,5048,-4124,1776,538,3545,-14864,1616,-1704,414,1294,3039,-14676,-1540,-6080,-1565,1118,2509,-14504,-5824,1236,-3103,597,512
-7144,-608,15540,-180,245,675,-15996,2708,-4832,-977,-1389,3551,-15284,4804,-4660,761,668,3894,-15468,1400,-2524,-1480,1057,3343,-15288,-2224,-6232,-2883,926,2839,-15136,-5848,352,-2943,682,873
-7412,-308,15760,-876,1362,426,-16024,3540,-4468,-2306,-1923,3768,-15340,5720,-3828,-895,588,4259,-15544,1252,-1964,-1846,899,3643,-15212,-2376,-6248,-2615,552,3082,-15172,-4420,48,-3178,569,1215
-7176,-432,15572,-1222,2576,130,-16352,3728,-4772,-4046,-2202,3861,-15588,4924,-4596,-2592,919,4845,-15732,1012,-3072,-3265,844,3954,-15560,-1668,-6376,-2773,429,3060,-15672,-5180,1300,-2273,748,830
-7532,-916,15512,-1534,4679,-278,-16288,2204,-5452,-6323,-2572,4210,-16048,4020,-4232,-5046,1013,5551,-15360,624,-2960,-4171,890,3831,-15584,-1460,-6992,-2084,327,2743,-15792,-5112,1440,-1222,985,1254
-7368,-664,14864,-1946,8884,-715,-17492,2784,-3464,-5327,-3157,5333,-16600,4332,-3848,-2919,608,6647,-16128,-556,-3108,-2479,846,3411,-16008,-2064,-7356,-1402,233,2079,-16308,-3952,1392,-187,2388,1594
-8084,-664,14364,-2468,11859,-1366,-17860,4328,-3460,-7116,-3705,5990,-16316,5756,-2964,-4815,782,7593,-16432,984,-1360,-2905,677,3007,-16536,-648,-6592,-1248,-77,1191,-17504,-3536,304,34,3333,1260
-8532,-2088,14552,-1680,13737,-1308,-16884,1588,-4608,-9076,-4632,6542,-16404,5592,-3144,-7478,1133,8169,-16600,2416,-1764,-5387,125,2136,-16932,-100,-6580,-2923,-1095,206,-16768,-3364,900,1510,844,797
-8552,-1364,13920,-1540,17815,-608,-17844,3152,-3624,-7992,-4896,7473,-16220,5096,-1932,-6531,957,8969,-15948,-912,-1452,-6124,-888,755,-15840,-264,-6152,-5391,-2036,-933,-16244,-2988,944,92,33,585
-10788,-1440,12820,26,19718,-53,-17012,3252,-1908,-8168,-5141,8602,-14972,4620,-956,-6998,948,9931,-14896,-968,584,-5067,-1480,-415,-14904,-1004,-5120,-5413,-2127,-1589,-15968,-2552,744,-1107,863,344
-12732,-1636,12584,587,20363,-623,-17536,2828,-2004,-7807,-5146,9765,-15440,4236,-608,-6518,1685,11381,-14764,-3036,1120,-5458,-2594,-2260,-14108,-1252,-4656,-5724,-2203,-2845,-14800,-3532,1748,-1269,1,203
-12152,-1288,12444,746,25093,822,-18912,1472,-3280,-6728,-5154,11926,-16800,1304,-920,-6281,1468,12543,-15256,-4756,1264,-6144,-4646,-4553,-13972,-816,-4904,-6264,-2548,-5017,-14300,-1656,2432,1530,-567,-297
-13948,-1328,14476,-1884,32767,1457,-20940,3144,-2796,-4573,-5011,14589,-18236,4260,-1304,-2627,2435,13308,-16952,-5268,364,-3015,-4813,-6635,-14700,-1508,-4256,-5262,-2663,-7499,-14888,-296,2048,292,1370,373
-19392,-3748,10868,-3771,32767,860,-20872,3028,-3940,-2388,-5133,15851,-18916,5312,-3792,475,1167,13989,-17516,-2008,-952,1936,-4096,-7289,-15388,-1684,-3880,-3214,-3130,-9559,-16236,-876,2816,69,792,86
-16368,-2236,9312,-3364,32767,4437,-16900,3892,-3720,-1415,-5230,14250,-13092,11300,-5056,4449,837,11943,-18408,2240,-1260,953,-2495,-8752,-16336,-916,-4152,-492,-2999,-11168,-15140,-1384,2900,422,44,-285
-18756,1520,6732,-551,32767,7748,-14056,7796,-1744,-1135,-5432,11710,-11616,14896,-6868,2055,-622,7723,-18824,4844,-3464,-267,-1166,-9025,-17092,-16,-4416,-200,-4156,-11744,-15524,-2152,3108,-522,-367,-259
-32768,-14140,32767,-15943,7914,-429,-8300,15976,2392,1370,-6012,10016,-5640,18268,-8172,4065,-4063,6010,-17924,7160,-3196,146,-1825,-8264,-16784,-1752,-3776,-908,-3132,-11155,-15924,-3912,2492,-384,-316,-357
-3116,-328,8644,1177,-16142,4661,-7672,-3812,-3552,-3422,-1921,-2063,-8120,15704,-5612,-6316,-983,-1454,-18544,5628,-1428,1647,871,-8883,-18672,-3048,-3700,-1087,-1204,-9829,-17744,-4108,1260,-797,212,22
-8220,268,15232,-3344,-19333,5342,-4332,788,-1796,-440,912,-6562,-5052,9956,-1052,-3134,-3130,-8188,-15656,3900,-780,3457,-1754,-11407,-16532,-2724,-4284,452,-2039,-7543,-16288,-3168,2312,1162,-2625,276
-5492,-96,10448,-1787,-24064,8102,-6960,-728,-2056,-781,909,-14441,-5960,13968,-4444,814,-4551,-13303,-15416,3968,-1712,4163,-102,-11902,-13968,-3308,-3524,1799,-92,-6254,-13924,-2192,2768,1153,-2748,194
-12296,-4408,13960,54,-32149,7568,-9436,2244,-800,-1527,3674,-20477,-7012,13124,-2376,-2736,-3974,-17234,-15128,2836,-716,5317,-257,-11831,-14252,-2056,-2792,2184,993,-6121,-13764,-2128,3172,311,-1934,-46
-11592,-1984,10296,2099,-31099,4503,-13072,-292,760,2117,4968,-24341,-8492,10120,-1508,468,-5411,-21395,-14572,2688,-248,5877,-1013,-11454,-14472,-2928,-3812,1408,797,-5203,-14916,-2616,1924,-274,-1133,-5
-15140,-4300,12576,-1259,-32768,-2028,-15232,3180,-1120,5093,6610,-27212,-8676,10564,-520,2003,-5629,-24491,-13652,3516,-200,5981,-367,-9354,-14348,-3476,-4336,-241,-572,-3914,-15060,-3372,2764,-779,-1531,-103
-17452,-964,13416,128,-31087,-4917,-19308,3764,-1176,6542,7452,-28499,-11768,10536,-1380,2297,-5136,-26634,-13976,2180,936,5009,-1304,-7722,-14228,-4344,-4156,-1833,-617,-2449,-14852,-4148,2920,-773,-704,-16
-17056,-2840,12788,-1320,-28161,-8577,-21704,3700,-1984,8091,8054,-28768,-13008,8720,-1348,3364,-4962,-26966,-13900,304,1492,2573,-1765,-6597,-13784,-4728,-3184,-2075,86,-1004,-14812,-3676,1928,-1156,192,89
-16032,-812,11948,894,-23633,-10223,-22156,3696,-2800,9499,7955,-27955,-14040,7024,-1116,4488,-4808,-27404,-13648,-1256,1708,1087,-1025,-4359,-13836,-6352,-2828,-1327,-562,349,-14772,-3768,1640,-1637,269,177
-17408,608,14240,1539,-14492,-8782,-22672,3652,-3976,9520,7949,-26954,-14592,5472,-536,5531,-4802,-26889,-13752,-3556,1304,2881,-531,-2672,-13412,-6988,-3596,-125,-670,1257,-14656,-4904,2140,-1444,-239,199
-24084,4636,20080,-2555,-16748,-7877,-23748,8040,-2200,7944,7600,-24967,-16384,3680,-816,5199,-3956,-24038,-13872,-5340,1332,5050,139,-4288,-13536,-7484,-3332,798,-457,1717,-14080,-4952,2088,-606,45,-42
-20272,760,12916,-4464,-18886,-6822,-21424,5360,-3028,2047,5947,-21903,-16112,2716,-436,940,-3310,-20781,-15284,-6484,644,6725,1179,-6394,-14284,-8420,-3368,1734,-408,1169,-14668,-4332,2252,691,316,-286
-18500,2228,11080,-1198,-15860,-3467,-19784,3268,-1296,2458,5594,-17129,-16492,-1060,-276,1378,-2362,-16663,-15416,-7908,1380,7067,-3375,-6091,-14036,-7520,-3740,2729,-59,72,-14948,-3280,2288,950,62,-548
-13260,408,6940,-437,-13275,-3697,-17960,1984,-1536,3123,3336,-12672,-15584,-2416,-916,2851,-2962,-11793,-12048,-7284,1752,4533,-3475,-1567,-13548,-6584,-3352,2919,1282,-294,-14628,-2988,2260,-18,1077,-729
-15384,2892,8488,2049,-8484,-1167,-15936,4380,-2480,2939,2545,-7493,-14760,-3388,508,3626,-1122,-7182,-13136,-8104,2684,2730,-196,-660,-13880,-5420,-1736,355,340,-229,-14840,-4624,2148,-961,1250,-970
-10204,2192,3744,-2156,-5021,727,-15080,3336,-2680,-788,1843,-3306,-14068,228,-580,1469,381,-2780,-13820,-4796,2236,2168,-72,358,-14188,-6144,-2404,17,203,43,-15540,-5624,1472,-792,1335,-780
-12392,4240,9904,470,-292,4676,-15484,2176,-1072,-2584,991,225,-14460,-344,-1888,-353,1220,232,-12956,-4464,-212,-316,25,982,-13592,-7248,-3528,2278,1766,431,-15292,-5088,2420,-832,1084,-494
-11364,628,9912,-956,1100,5827,-15116,1528,-1888,-2339,-191,2671,-14548,-196,284,-166,1476,2873,-13712,-4296,2324,1324,1801,3210,-13460,-6648,-2580,3387,1625,2877,-15000,-6328,1784,-59,1707,-1085
-9944,-3104,4856,-205,2571,3366,-15952,1736,-1904,-1871,65,5926,-14716,1180,-1064,1819,2152,6161,-13684,-2904,1244,780,2262,5428,-14516,-6056,-1548,2913,1573,3904,-14788,-7524,1204,1709,2082,-738
2984,-3564,9532,-1682,24152,1758,-13456,-9044,-6596,-3423,839,1060,-16992,-8176,7156,-2146,1303,926,-18264,-7284,7216,1390,3239,4331,-16380,-4068,-2092,2238,732,5142,-17816,-4728,476,1730,3168,635
-4216,704,14340,-902,14572,1646,-16604,-10884,-4716,-3560,1009,3270,-18228,-5192,1684,-450,1627,3463,-17628,-9228,2260,-949,1056,3825,-19936,-5332,-1660,-660,910,5605,-19004,-1608,2860,2655,-33,862
-6704,-6124,14416,1805,14708,3380,-14320,-9564,-7672,-319,1446,4893,-17208,-6472,-2408,5893,1565,3699,-16380,-7440,-1640,1936,1506,4017,-17104,-7528,-1220,-1153,196,2083,-17496,-2024,3596,1383,-2855,448
-11316,84,16600,816,11319,1465,-16732,-2696,-5068,2632,1294,6080,-16676,976,-2480,5656,2084,4414,-15280,-3644,552,6152,1571,4532,-13840,-5140,-4724,-473,661,2490,-14988,-4632,2968,833,-2731,-601
-14288,-848,19680,-3626,6506,-99,-16208,-112,-2644,-905,1009,5661,-15608,2972,-136,2370,3031,4198,-15800,236,1816,3109,3049,4388,-15876,-3920,-4152,897,2044,3905,-15640,-5376,1548,-476,-1219,-183
-9684,-140,15928,-2963,2375,-761,-16124,-3864,-3000,-1978,2324,5078,-16760,872,184,1294,3528,4305,-16624,-604,2048,808,2259,5772,-16868,-3780,-2604,848,99,4839,-17168,-3740,2228,274,-2012,435
-9276,-1244,15212,-927,984,-488,-15504,-3676,-4672,-1014,2894,4959,-16204,-200,-2028,1219,2942,4234,-15136,-1588,-48,-610,832,6301,-14344,-3924,-3404,50,388,5236,-14496,-2696,3356,1805,-3143,-142
-8064,-3608,14452,1824,843,632,-13776,-4920,-7016,-1162,2089,4644,-14956,-3196,-3572,117,2421,3503,-13896,-4588,-992,-1262,1578,5837,-13088,-3484,-3996,-242,1600,4801,-13020,-2312,4032,582,-2427,-958
-8144,-1176,15824,4153,536,2168,-13660,-5756,-5344,514,2485,5355,-15152,-4892,-1056,2269,2591,3601,-14016,-6848,140,1337,2691,5067,-12920,-3012,-5432,1118,2058,3958,-12912,-2252,3064,-542,-765,-972
-8900,-536,15348,2428,1188,1413,-15460,-3276,-4084,1427,2330,5924,-15500,36,-896,2936,3250,4099,-15296,-2000,1020,3703,2503,4379,-15152,-2896,-5376,1191,2327,2778,-14820,-2520,2168,-804,345,-754
-8232,-1308,15448,2922,186,1617,-14624,-4604,-5492,1400,2745,5769,-15680,-1156,-2388,4302,2514,3874,-14944,-1900,-304,3458,1785,4208,-14992,-2884,-4436,1938,1475,2541,-15124,-2412,2144,-941,-148,-708
-9840,96,15268,296,-1114,642,-16308,-116,-4780,481,2233,5257,-15884,3260,-4040,1478,2954,3673,-15584,812,-2040,485,2430,4013,-15140,-856,-6060,1996,1767,2625,-15300,-2200,2404,766,-490,-714
-9044,-396,15448,-646,-32,-36,-15976,-1760,-5248,-2792,1086,3779,-16200,2928,-4604,-1227,2996,3298,-16116,1964,-2228,-1891,1797,3854,-15632,-1068,-6964,1900,2339,2612,-16260,-2204,2916,1603,-451,-635
-8836,-620,15392,-949,485,-41,-15344,-1760,-6252,-2310,827,2714,-16000,1044,-4580,-616,1911,2914,-15092,-1088,-2448,-1588,1309,3897,-14472,-1444,-6592,2316,1651,2785,-14852,-1628,2800,1749,-487,-1181
-8016,-88,15100,-205,-1188,358,-14972,-2372,-6380,-2522,672,2470,-15996,-720,-3968,-1017,2229,2579,-15660,-2596,-1784,-1491,2122,3208,-15108,-344,-4848,1356,2433,2264,-15424,-1980,2548,711,369,-1052
-7896,-424,15336,-825,-1582,594,-15252,-3000,-6720,-2274,32,2632,-16316,-488,-4524,-883,1867,2847,-15764,-1192,-1664,-1093,1575,2767,-15540,-900,-5996,-1178,1602,1385,-16080,-2280,2836,122,486,-470
-7860,-792,14768,-206,-1879,805,-14888,-1496,-5944,-1664,-171,2851,-15508,500,-2920,-788,1597,2812,-14740,-980,-1068,-1836,1760,2401,-14468,-1260,-6280,-2786,1888,794,-14576,-2184,3244,-676,307,-264
-8236,-1316,15004,732,-720,951,-13900,-3772,-6948,405,-15,3549,-15556,-2556,-3528,1122,1526,2643,-15076,-2476,-1468,-633,1459,1752,-14872,-1548,-5544,-3668,1359,706,-14704,-2144,2404,-1833,1658,-86
-8396,-812,15292,618,-463,1200,-15188,-712,-5584,1807,-98,3989,-15612,1936,-4328,3480,890,2935,-15020,120,-2484,1929,1843,1644,-14640,-2188,-5904,-1878,1224,692,-15144,-3200,2424,-2456,1932,-44
-9080,-204,15500,460,-200,921,-15592,432,-4844,389,-346,3369,-15572,3756,-3000,2551,783,2768,-15440,1772,-516,2485,2070,1720,-15376,-1168,-5708,-1433,2086,1216,-15172,-4004,2300,-2220,1842,248
-8580,60,15532,430,-648,644,-15344,-956,-4940,26,-11,2796,-15720,1260,-2720,1761,710,2455,-15568,388,-224,483,1227,1824,-15608,-444,-5172,-2138,1352,1563,-15752,-3900,2320,-1401,1104,589
-7620,292,15136,-13,21,365,-15484,144,-6040,-4,-218,2675,-15728,3664,-4268,387,1051,2326,-15380,1068,-1792,-1007,1376,1665,-15624,-1228,-5404,-2831,1467,1350,-15300,-3268,2496,-510,951,584
-8096,-356,15340,-435,668,-185,-15352,480,-5784,-2873,-412,1962,-15640,3464,-3228,-2273,1062,2532,-15524,1112,-1044,-2168,1245,1752,-15272,-2232,-5300,-2634,939,1187,-15144,-4000,1904,-1156,680,537
-8096,36,15432,-1237,826,-628,-15760,124,-3668,-4530,84,1839,-15788,2268,-2120,-2495,725,3163,-15464,-672,-384,-2883,919,1848,-15276,-2352,-5396,-1984,1152,1327,-15024,-4364,1332,-1174,781,681
-8744,-652,15436,12,886,-112,-14656,-1832,-6428,-1506,-477,2676,-15304,-2416,-6196,-306,804,2515,-14628,-3076,-4048,-1268,265,1554,-14280,-3376,-5640,-1417,92,1522,-15096,-4316,1480,-195,138,619
-8576,-176,15440,218,-231,191,-15016,428,-5864,1267,-673,2919,-15108,1396,-4504,2511,469,2848,-14796,-1224,-2344,2703,1551,1980,-14072,-4076,-6152,1195,1132,1523,-13428,-4620,1792,372,799,-142
-8280,-212,15220,87,-387,158,-15148,500,-4988,604,-829,3172,-15084,3324,-2916,2417,378,3142,-15012,204,-508,3379,1593,2197,-15220,-2992,-5548,2823,1754,1954,-14756,-4188,1040,-747,1646,-192
